danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.714,0.108,10,-15.872,1,0.06,0.933,0.717,0.178,0.412,113.581,audio_features,1GFBBzqU8trjyVgpLB6Acm,spotify:track:1GFBBzqU8trjyVgpLB6Acm,https://api.spotify.com/v1/tracks/1GFBBzqU8trjyVgpLB6Acm,https://api.spotify.com/v1/audio-analysis/1GFBBzqU8trjyVgpLB6Acm,205160,4
0.65,0.448,10,-9.307,1,0.032,0.832,0.557,0.123,0.836,92.15,audio_features,7ois1WbkgFLBqMinZzHYrG,spotify:track:7ois1WbkgFLBqMinZzHYrG,https://api.spotify.com/v1/tracks/7ois1WbkgFLBqMinZzHYrG,https://api.spotify.com/v1/audio-analysis/7ois1WbkgFLBqMinZzHYrG,196520,4
0.328,0.221,0,-9.7,1,0.0299,0.94,0.00135,0.301,0.369,77.147,audio_features,5Xd9NVSspCkmCxa9gSAWu8,spotify:track:5Xd9NVSspCkmCxa9gSAWu8,https://api.spotify.com/v1/tracks/5Xd9NVSspCkmCxa9gSAWu8,https://api.spotify.com/v1/audio-analysis/5Xd9NVSspCkmCxa9gSAWu8,203773,4
0.35,0.114,2,-15.725,0,0.0332,0.984,0.0101,0.285,0.265,113.382,audio_features,4ObsUll5eY9caJrdkauYuj,spotify:track:4ObsUll5eY9caJrdkauYuj,https://api.spotify.com/v1/tracks/4ObsUll5eY9caJrdkauYuj,https://api.spotify.com/v1/audio-analysis/4ObsUll5eY9caJrdkauYuj,176933,4
0.394,0.271,0,-8.223,0,0.0294,0.794,0.00461,0.181,0.35,72.995,audio_features,3BzO3H3k4iU70Cn6YpriYA,spotify:track:3BzO3H3k4iU70Cn6YpriYA,https://api.spotify.com/v1/tracks/3BzO3H3k4iU70Cn6YpriYA,https://api.spotify.com/v1/audio-analysis/3BzO3H3k4iU70Cn6YpriYA,187587,4
0.578,0.378,9,-7.194,0,0.0296,0.694,1.57e-05,0.0834,0.696,125.67,audio_features,4LQRgExNuf7RYGs4sPELbP,spotify:track:4LQRgExNuf7RYGs4sPELbP,https://api.spotify.com/v1/tracks/4LQRgExNuf7RYGs4sPELbP,https://api.spotify.com/v1/audio-analysis/4LQRgExNuf7RYGs4sPELbP,175867,4
0.254,0.257,4,-11.628,0,0.0335,0.989,0.894,0.0749,0.137,88.764,audio_features,76ovlDjzSz92VZzuQ3hLAp,spotify:track:76ovlDjzSz92VZzuQ3hLAp,https://api.spotify.com/v1/tracks/76ovlDjzSz92VZzuQ3hLAp,https://api.spotify.com/v1/audio-analysis/76ovlDjzSz92VZzuQ3hLAp,176347,4
0.664,0.278,5,-9.83,1,0.0322,0.747,0.291,0.324,0.671,120.8,audio_features,6b8h4Q9tYEC86n7u2eY51I,spotify:track:6b8h4Q9tYEC86n7u2eY51I,https://api.spotify.com/v1/tracks/6b8h4Q9tYEC86n7u2eY51I,https://api.spotify.com/v1/audio-analysis/6b8h4Q9tYEC86n7u2eY51I,194200,4
0.665,0.256,8,-10.423,1,0.0351,0.781,3.13e-05,0.0867,0.441,114.999,audio_features,6o4klgwPT1yyWaldC4HkfW,spotify:track:6o4klgwPT1yyWaldC4HkfW,https://api.spotify.com/v1/tracks/6o4klgwPT1yyWaldC4HkfW,https://api.spotify.com/v1/audio-analysis/6o4klgwPT1yyWaldC4HkfW,187733,4
0.575,0.0935,10,-17.737,1,0.0338,0.955,0.00056,0.133,0.502,120.816,audio_features,1LrmKW8VZHXjEyIJlYxpVs,spotify:track:1LrmKW8VZHXjEyIJlYxpVs,https://api.spotify.com/v1/tracks/1LrmKW8VZHXjEyIJlYxpVs,https://api.spotify.com/v1/audio-analysis/1LrmKW8VZHXjEyIJlYxpVs,161867,4
0.309,0.188,7,-11.158,0,0.0345,0.951,0.902,0.525,0.207,83.902,audio_features,1mLy2ikfPe0LFNWxyY83xr,spotify:track:1mLy2ikfPe0LFNWxyY83xr,https://api.spotify.com/v1/tracks/1mLy2ikfPe0LFNWxyY83xr,https://api.spotify.com/v1/audio-analysis/1mLy2ikfPe0LFNWxyY83xr,192600,4
